division,calendar_week,paid_views,organic_views,google_impressions,email_impressions,facebook_impressions,affiliate_impressions,overall_views,sales,year,month,season,spend_google,spend_email,spend_facebook,spend_affiliate
A,2018-01-06,392,422,408,349895.0107,73580,12072,682,59417,2018,1,Winter,0.82,349.9,110.37,14.49
A,2018-01-13,787,904,110,506270.2176,11804,9499,853,56806,2018,1,Winter,0.22,506.27,17.71,11.4
A,2018-01-20,81,970,742,430042.1538,52232,17048,759,48715,2018,1,Winter,1.48,430.04,78.35,20.46
A,2018-01-27,25,575,65,417745.6658,78640,10207,942,72047,2018,1,Winter,0.13,417.75,117.96,12.25
A,2018-02-03,565,284,295,408505.8012,40561,5834,658,56235,2018,2,Winter,0.59,408.51,60.84,7.0
A,2018-02-10,256,330,683,434729.755,36750,8469,691,56347,2018,2,Winter,1.37,434.73,55.12,10.16
A,2018-02-17,886,56,664,634432.9117,112489,8331,685,81604,2018,2,Winter,1.33,634.43,168.73,10.0
A,2018-02-24,336,99,470,555036.3088,218,6319,569,80492,2018,2,Winter,0.94,555.04,0.33,7.58
A,2018-03-03,305,209,501,423690.0837,13065,7898,772,61804,2018,3,Spring,1.0,423.69,19.6,9.48
A,2018-03-10,955,283,609,471730.039,84449,8428,833,64944,2018,3,Spring,1.22,471.73,126.67,10.11
A,2018-03-17,650,466,290,464972.6858,11438,6900,978,62945,2018,3,Spring,0.58,464.97,17.16,8.28
A,2018-03-24,962,614,605,424832.1916,58830,14151,196,65018,2018,3,Spring,1.21,424.83,88.24,16.98
A,2018-03-31,674,831,762,427351.2598,29536,7840,571,68472,2018,3,Spring,1.52,427.35,44.3,9.41
A,2018-04-07,604,22,130736,418862.0356,91874,6575,737,53473,2018,4,Spring,261.47,418.86,137.81,7.89
A,2018-04-14,342,432,208099,508059.5563,61025,7733,550,59351,2018,4,Spring,416.2,508.06,91.54,9.28
A,2018-04-21,833,10,209285,412036.2647,38548,8358,792,72647,2018,4,Spring,418.57,412.04,57.82,10.03
A,2018-04-28,868,750,232531,473344.0824,27777,8208,905,62975,2018,4,Spring,465.06,473.34,41.67,9.85
A,2018-05-05,20,776,258508,399782.5359,51402,7789,741,73440,2018,5,Spring,517.02,399.78,77.1,9.35
A,2018-05-12,704,391,350509,347974.4459,43773,10803,698,73081,2018,5,Spring,701.02,347.97,65.66,12.96
A,2018-05-19,554,21,349590,378663.2045,5457,7350,990,63422,2018,5,Spring,699.18,378.66,8.19,8.82
A,2018-05-26,903,124,339701,457524.6496,18636,9041,333,65930,2018,5,Spring,679.4,457.52,27.95,10.85
A,2018-06-02,926,139,272962,334461.8929,58676,10338,611,67830,2018,6,Summer,545.92,334.46,88.01,12.41
A,2018-06-09,273,84,260513,376282.2511,95075,9525,481,72316,2018,6,Summer,521.03,376.28,142.61,11.43
A,2018-06-16,929,358,239193,338646.3504,49503,9606,805,66903,2018,6,Summer,478.39,338.65,74.25,11.53
A,2018-06-23,261,564,257999,394913.4299,33836,9592,913,68825,2018,6,Summer,516.0,394.91,50.75,11.51
A,2018-06-30,160,423,300068,372145.5745,41871,12818,413,90421,2018,6,Summer,600.14,372.15,62.81,15.38
A,2018-07-07,489,927,398603,323816.9932,38020,9479,574,47768,2018,7,Summer,797.21,323.82,57.03,11.37
A,2018-07-14,196,900,465878,463140.8772,157256,9427,468,110359,2018,7,Summer,931.76,463.14,235.88,11.31
A,2018-07-21,843,976,375324,351878.9496,120756,8103,121,111259,2018,7,Summer,750.65,351.88,181.13,9.72
A,2018-07-28,417,761,365439,367606.8031,87487,8569,470,69277,2018,7,Summer,730.88,367.61,131.23,10.28
A,2018-08-04,971,593,338155,286526.9413,99863,9187,582,73348,2018,8,Summer,676.31,286.53,149.79,11.02
A,2018-08-11,640,296,351992,357211.0809,107090,8296,550,59450,2018,8,Summer,703.98,357.21,160.64,9.96
